Symbol,Quantity,Date Acquired,Date Sold,Cost Basis,Sales Proceeds,Wash,Adjustment
GOOG,0.575,05/25/2022,06/17/2022,1218.15,1236.22,,
GOOG,1.149,05/25/2022,06/17/2022,2434.18,2470.29,,
GOOG,68.641,09/25/2022,09/28/2022,6807.13,6920.91,,
GOOG,0.264,09/25/2022,09/28/2022,26.18,26.62,,
GOOG,68.905,09/25/2022,09/28/2022,6833.31,6947.53,,
GOOG,11.485,09/25/2022,09/28/2022,1138.97,1158.01,,
GOOG,22.969,09/25/2022,09/28/2022,2277.84,2315.91,,
GOOG,68.92,12/25/2021,11/04/2022,10141.06,5926.98,,
GOOG,32.675,12/25/2021,11/04/2022,4807.88,2809.99,,
GOOG,18.0,12/25/2021,11/04/2022,2648.57,1547.96,,
GOOG,18.245,12/25/2021,11/04/2022,2684.61,1569.03,,
GOOG,10.22,02/25/2022,11/04/2022,1355.92,878.90,,
GOOG,22.969,08/25/2022,11/04/2022,2634.54,1975.29,,
GOOG,22.98,12/25/2021,11/04/2022,3381.33,1976.23,,
GOOG,20.42,03/25/2022,11/04/2022,2885.59,1756.08,,
GOOG,11.5,11/25/2021,11/04/2022,1687.25,988.98,,
GOOG,65.6,03/25/2022,11/04/2022,9270.07,5641.47,,
GOOG,68.92,06/25/2022,11/04/2022,8169.64,5926.98,,
GOOG,20.42,03/25/2022,11/04/2022,2885.59,1756.08,,
GOOG,68.92,06/25/2022,11/04/2022,8169.64,5926.98,,
GOOG,10.22,01/25/2022,11/04/2022,1332.40,878.90,,
GOOG,11.484,08/25/2022,11/04/2022,1317.21,987.60,,
GOOG,126.34,11/25/2021,11/04/2022,18536.29,10864.99,,
GOOG,22.968,07/25/2022,11/04/2022,2488.81,1975.20,,
GOOG,32.675,03/25/2022,11/04/2022,4617.37,2809.99,,
GOOG,18.345,03/25/2022,11/04/2022,2592.37,1577.63,,
GOOG,20.42,01/25/2022,11/04/2022,2662.20,1756.08,,
GOOG,22.98,06/25/2022,11/04/2022,2724.00,1976.23,,
GOOG,11.68,04/25/2022,11/04/2022,1397.09,1004.46,,
GOOG,23.34,04/25/2022,11/04/2022,2791.79,2007.19,,
GOOG,8.125,06/25/2022,11/04/2022,963.12,698.73,,
GOOG,3.375,06/25/2022,11/04/2022,400.07,290.24,,
GOOG,22.969,10/25/2022,11/04/2022,2365.12,1975.29,,
GOOG,2.578,07/25/2022,11/04/2022,279.35,221.70,,
GOOG,8.907,07/25/2022,11/04/2022,965.16,765.98,,
GOOG,10.22,02/25/2022,11/04/2022,1355.92,878.90,,
GOOG,3.926,12/26/2019,05/12/2022,5274.82,8712.01,,
GOOG,5.113,01/27/2020,05/12/2022,7499.29,11346.03,,
GOOG,6.543,10/25/2019,05/12/2022,8250.66,14519.27,,
GOOG,7.197,09/25/2019,05/12/2022,8771.42,15970.54,,
GOOG,7.197,11/25/2019,05/12/2022,9322.56,15970.54,,
GOOG,0.496,04/27/2020,05/12/2022,634.54,1100.65,,
GOOG,6.543,12/26/2019,05/12/2022,8790.91,14519.27,,
GOOG,5.167,04/27/2020,05/12/2022,6610.19,11464.71,,
GOOG,0.753,04/27/2020,05/12/2022,963.32,1670.95,,
GOOG,5.193,03/25/2020,05/12/2022,5891.25,11523.55,,
GOOG,3.305,03/25/2020,05/12/2022,3749.39,7333.98,,
GOOG,5.624,02/25/2020,05/12/2022,7995.02,12479.96,,
GOOG,5.833,05/25/2020,05/12/2022,8226.98,12942.46,,
GOOG,2.606,03/25/2020,05/12/2022,2956.40,5782.86,,
GOOG,0.513,01/25/2021,06/17/2022,975.24,1103.15,,
GOOG,6.317,11/25/2020,06/17/2022,11174.01,13583.96,,
GOOG,1.025,02/25/2021,06/17/2022,2147.55,2204.14,,
GOOG,5.832,03/25/2021,06/17/2022,11926.79,12538.51,,
GOOG,3.446,12/25/2020,06/17/2022,5992.08,7410.21,,
GOOG,0.093,06/25/2020,06/17/2022,133.17,199.95,,
GOOG,5.649,06/25/2020,06/17/2022,8089.20,12147.50,,
GOOG,3.404,03/25/2021,06/17/2022,6961.38,7318.43,,
GOOG,5.122,01/25/2021,06/17/2022,9737.18,11014.25,,
GOOG,0.956,02/25/2021,06/17/2022,2002.98,2055.35,,
GOOG,4.679,02/25/2021,06/17/2022,9803.30,10061.63,,
GOOG,5.743,12/25/2020,06/17/2022,9986.22,12349.64,,
GOOG,5.743,10/25/2020,06/17/2022,9424.26,12349.64,,
GOOG,0.584,03/25/2021,06/17/2022,1194.32,1255.57,,
GOOG,3.5,03/25/2021,06/17/2022,7157.71,7524.83,,
GOOG,3.446,12/25/2020,06/17/2022,5992.08,7410.21,,
GOOG,6.317,07/25/2020,06/17/2022,9550.48,13583.96,,
GOOG,126.34,09/25/2021,11/04/2022,18020.25,10864.99,,
GOOG,11.5,06/25/2021,11/04/2022,1463.74,988.98,,
GOOG,68.92,09/25/2021,11/04/2022,9830.27,5926.98,,
GOOG,114.86,10/25/2021,11/04/2022,15922.47,9877.73,,
GOOG,0.595,09/25/2020,11/04/2022,42.49,51.17,,
